DCA$January$2004$336$15$1269$7531$5916$Washington, DC: Ronald Reagan Washington National
DEN$January$2004$226$14$2603$12719$9882$Denver, CO: Denver International
DFW$January$2004$572$14$5696$29315$22974$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$January$2004$341$13$2566$11900$8982$Detroit, MI: Detroit Metro Wayne County
EWR$January$2004$548$14$2930$12751$9260$Newark, NJ: Newark Liberty International
FLL$January$2004$27$13$1340$5418$4044$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$January$2004$279$15$1411$8633$6937$Washington, DC: Washington Dulles International
IAH$January$2004$113$13$2638$16261$13494$Houston, TX: George Bush Intercontinental/Houston
JFK$January$2004$128$12$1602$6826$5076$New York, NY: John F. Kennedy International
LAS$January$2004$177$15$2614$12769$9972$Las Vegas, NV: McCarran International
LAX$January$2004$359$13$3272$19248$15595$Los Angeles, CA: Los Angeles International
LGA$January$2004$588$12$2710$10526$7223$New York, NY: LaGuardia
MCO$January$2004$49$14$1781$8506$6673$Orlando, FL: Orlando International
MDW$January$2004$225$11$1681$7597$5630$Chicago, IL: Chicago Midway International
MIA$January$2004$70$13$1339$5612$4199$Miami, FL: Miami International
MSP$January$2004$274$14$2804$12200$9113$Minneapolis, MN: Minneapolis-St Paul International
ORD$January$2004$2652$14$13072$32715$16939$Chicago, IL: Chicago O'Hare International
PDX$January$2004$531$10$961$4673$3147$Portland, OR: Portland International
PHL$January$2004$287$13$1966$9202$6932$Philadelphia, PA: Philadelphia International
PHX$January$2004$283$15$2414$14272$11563$Phoenix, AZ: Phoenix Sky Harbor International
SAN$January$2004$102$13$1242$7176$5826$San Diego, CA: San Diego International
SEA$January$2004$335$13$2211$8586$6003$Seattle, WA: Seattle/Tacoma International
SFO$January$2004$283$12$3314$10746$7130$San Francisco, CA: San Francisco International
SLC$January$2004$366$12$3234$11270$7658$Salt Lake City, UT: Salt Lake City International
TPA$January$2004$35$12$1097$5807$4671$Tampa, FL: Tampa International
ATL$Febuary$2004$921$11$11538$32372$19883$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$Febuary$2004$164$16$1509$9896$8217$Boston, MA: Logan International
BWI$Febuary$2004$60$12$1293$8216$6855$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$Febuary$2004$167$12$1244$8495$7075$Charlotte, NC: Charlotte Douglas International
DCA$Febuary$2004$123$15$1019$7307$6160$Washington, DC: Ronald Reagan Washington National
DEN$Febuary$2004$114$14$1766$11918$10032$Denver, CO: Denver International
DFW$Febuary$2004$505$14$5318$27068$21148$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$Febuary$2004$204$13$1677$11463$9578$Detroit, MI: Detroit Metro Wayne County
EWR$Febuary$2004$198$14$2561$12353$9586$Newark, NJ: Newark Liberty International
FLL$Febuary$2004$12$13$1446$5499$4031$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$Febuary$2004$175$15$963$8038$6897$Washington, DC: Washington Dulles International
IAH$Febuary$2004$68$13$3270$15650$12295$Houston, TX: George Bush Intercontinental/Houston
JFK$Febuary$2004$45$12$1105$6569$5416$New York, NY: John F. Kennedy International
LAS$Febuary$2004$135$14$2839$12287$9290$Las Vegas, NV: McCarran International
LAX$Febuary$2004$253$13$2672$17910$14963$Los Angeles, CA: Los Angeles International
LGA$Febuary$2004$238$12$1934$10053$7868$New York, NY: LaGuardia
MCO$Febuary$2004$24$15$1826$8338$6477$Orlando, FL: Orlando International
